Medicare ID,Year,Facility,Address,City,Zip,Health Service Area,FEIN Number,Legal Entity Owner,Ownership,Administrator,Medical Director Name,Property Owner 1,Property Owner 1 Address,Property Owner 1 City,Property Owner 2,Property Owner 2 Address,Property Owner 2 City,Property Owner 3,Related Entity 1,Related Entity 1 Relationship,Related Entity 1 Interest,Related Entity 2,Related Entity 2 Relationship,Related Entity 2 Interest,Related Entity 3,Related Entity 3 Relationship,Related Entity 3 Interest,Related Entity 4,Related Entity 4 Relationship,Related Entity 4 Interest,Related Entity 5,Related Entity 5 Relationship,Related Entity 5 Interest,Full-Time Work Week,Regsitered Nurse FTE,Dialysis Technician FTE,Dietician FTE,Social Worker FTE,LPN FTE,Other Health FTE,Other Non-Health FTE,Total Employees,Personnel Comments,Authorized Stations Start,Certified Stations Start,Authorized Stations End,Certified Stations End,Peak Station Operated,Stations Setup October,Isolation Stations October,In-Center Treatments,Average Treatment Time,Number of Missed Patients,Shifts Monday,Shifts Tuesday,Shifts Wednesday,Shifts Thursday,Shifts Friday,Shifts Saturday,Shifts Sunday,Incenter Nocturnal Dialysis,Hours of Operation Oct 1,Hours of Operation Oct 2,Hours of Operation Oct 3,Hours of Operation Oct 4,Hours of Operation Oct 5,Hours of Operation Oct 6,Hours of Operation Oct 7,Patients Treated Oct 1,Patients Treated Oct 2,Patients Treated Oct 3,Patients Treated Oct 4,Patients Treated Oct 5,Patients Treated Oct 6,Patients Treated Oct 7,Beginning Patients,Ending Patients,Total Patients Treated,Number of New Patients,Number of Transient Patients,Number Patients Re-Started,Number Post-Transplant,Number Recovered,Number of Transplant Recipients,Number Transferred,Number Voluntarily Discontinued,Number Lost to Follow-up,Number of Patients Died,Medicare Patients,Medicaid Patients,Other Public Patients,Private Insurance Patients,Private Pay Patients,Charity Patients,Total Patients Payment,Male Patients Under 14,Female Patients Under 14,Total Under 14,Male Patients 15-44,Female Patients 15-44,Total 15 to 44,Male Patients 45-64,Female Patients 45-64,Total 45 to 64,Male Patients 65-74,Female Patients 65-74,Total 65 to 74,Male Patients 75 and Over,Female Patients 75 and Over,Total 75 and Over,Total Males Age,Total Females Age,Total Patients Age,Asian Patients,American Indian Patients,Black African Patients,Hawaiian Pacific Patients,White Patients,Unknown Race Patients,Total Residents Race,Hispanic Latino Patients,Non-Hispanic Latino Patients,Unknown Ethnicity Patients,Total Residents by Ethnicity,Starting Date,Ending Date,Source of Financial Data,Total Capital Expenditures,Project 1,Project 1 Amount Obligated,Project 1 Financing,Project 1 CON Number,Project 2,Project 2 Amount Obligated,Project 2 Financing,Project 2 CON Number,Project 3,Project 3 Amount Obligated,Project 3 Financing,Project 3 CON Number,Project 4,Project 4 Amount Obligated,Project 4 Financing,Project 4 CON Number,Project 5,Project 5 Amount Obligated,Project 5 Financing,Project 5 CON Number,Project 6,Project 6 Amount Obligated,Project 6 Financing,Project 6 CON Number,Project 7,Project 7 Amount Obligated,Project 7 Financing,Project 7 CON Number,Project 8,Project 8 Amount Obligated,Project 8 Financing,Project 8 CON Number,Project 9 Amount Obligated,Project 10 Amount Obligated,Long-Term Debt,Net Revenue - Medicare,Net Revenue - Medicaid,Net Revenue - Other Public,Net Revenue - Private Insur,Net Revenue - Private Pay,Total Revenue,Medicare Check,Medicaid Check,Other Public Check,Private Insurance Check,Private Pay Check,Actual Cost of Charity Care,Charity Check,Covid,Contact Person,Contact Person Title,Contact Person Telephone,Contact Person Email,Person Certifying,Certifier Title,Certification Date,Comments,Total Treatments
14-2806,2023,ARA SOUTH BARRINGTON,33 W HIGGINS ROAD SUITE 920-945,South Barrington,60010,7,,,Limited Liability Company,FAUZIA JAVAID,DR. ABHISHEK PULLA,ILLINOIS PROPERTY SOLUTIONS,1801 N MILL STREET,"NAPERVILLE, IL 60563",,,,,AMERICAN RENAL ASSOCIATES,MEMBER,MEMBERSHIP,ABHISHEK PULIA,MEMBER,MEMBERSHIP,,,,,,,,,,40,3,3,0.5,0.5,0,1,0.5,8.5,,14,14,14,14,14,93,0,210,49,4,3,1,3,1,3,1,0,Off,,13.5,7,13.5,7,13.5,7,0,24,7,24,7,24,7,38,30,49,6,6,1,0,1,2,11,1,0,5,41,5,0,3,0,0,49,0,0,0,2,0,2,19,1,20,5,7,12,8,7,15,34,15,49,8,0,8,0,15,0,31,18,31,0,49,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,$-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1157895,77975,0,234020,0,1469890,41,5,0,3,0,0,0,,,,,,,,,,4800
14-2810,2023,ARA/IRC Crystal Lake,6298 Northwest Highway Suite 300,Crystal Lake,60014,8,52-2413908,ARA N.W. Chicago LLC,Limited Liability Company,Felix Abiol,Dr. Abishek Pulla,Centro Bradley Crystal lake  LLC,40 Skokie Boulevard Suite 300,Northbrook IL. 60062,,,,,American Renal Associates,member,membership,Dr Abishek Pulla,member,membership,,,,,,,,,,40,2,2,0.5,0.5,0,0.5,0.5,6,"FTM- covers Crystal Lake and other 2 clinics
AA- covers Crystal Lake and other 2 clinics",16,16,16,16,16,16,0,240,8,2,2,,2,,2,,,No,,12,,12,,12,,,14,,13,,15,,22,15,31,10,2,0,0,1,1,8,2,0,4,28,1,0,1,1,0,31,0,0,0,1,0,1,9,4,13,9,2,11,6,0,6,25,6,31,2,0,2,0,27,0,31,5,26,0,31,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$3,200.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,612560,1543,0,173089,400,787592,28,1,0,1,1,0,0,,,,,,,,,,2417
14-2857,2023,ARA/IRC McHenry Dialysis,4209 W Shamrock Lane Unit A,McHenry,60050,8,,American Renal Associates,Limited Liability Company,Felix Abiol,Dr. Amit Arora,Riggsby Construction,471 Jennings Dr.,"Lake in the Hills,Il 60156",,,,,American Renal Associates,member,membership,Dr Amit Arora,member,membership,,,,,,,,,,40,2,1.5,0.5,0.5,0,0.5,0.5,5.5,"FTM- covers McHenry and other 2 clinics
AA- covers McHenry and other 2 clinics",12,12,12,12,12,12,0,240,12,3,3,,3,,3,,,No,,16,,16,,16,,,17,,16,,16,,18,21,41,10,16,2,0,0,0,19,2,0,3,37,2,1,1,0,0,41,0,0,0,0,1,1,8,6,14,6,5,11,12,3,15,26,15,41,1,0,3,0,30,0,34,7,0,0,7,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$2,499.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,686552,1304,41335,237594,0,966785,37,2,1,1,0,0,0,,,,,,,,,,2607
14-2732,2023,Arlington Heights Renal Center,17 W. Golf Road,Arlington Heights,60005,7,20-2694671,,For Profit Corporation,Josephine Monaco,George Hvostik MD,Dholdings,2118 South Plim Grove Road Suite 265,Rolling Meadows IL 60008,,,,,,,,,,,,,,,,,,,,32,2,3,0.5,0.5,0,0.25,0,6.25,Other Health Related Professionals Bio Med 0.25,20,20,20,20,20,20,1,285,121,2,2,1,2,1,2,1,0,No,0,11,7,11,7,11,7,0,28,11,24,11,32,13,36,37,37,14,14,2,0,2,1,20,0,0,4,17,5,2,8,0,5,37,0,0,0,3,1,4,9,5,14,4,5,9,5,5,10,21,16,37,11,0,0,0,26,0,37,11,26,0,37,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545182.7,1027037,769786.12,1234889.72,0,3576895.54,17,5,2,8,0,58680,5,,,,,,,,,,5398
14-2855,2023,Barrington Creek Dialysis,"28160 West Nothwest Hwy, Suite 104",Lake Barrington,60010,8,274360932,"Camino Dialysis, LLC",For Profit Corporation,Stacia Riffe,Dr. Sumit Bector,Andrew Staskevicius,"790 W. Frontage, Ste 722","Northfield, IL 60093",,,,,,,,,,,,,,,,,,,,40,2,3,0.5,0.5,0,0,1.5,7.5,"Administrative Assistance
Facility Administrator
Biomed",12,12,12,12,12,12,0,210,113,3,3,0,3,0,3,0,0,No,0,15,0,15,0,15,0,0,25,0,23,0,23,0,26,26,38,10,1,0,0,0,0,10,3,0,2,32,1,0,5,0,0,38,0,0,0,1,1,2,6,2,8,11,1,12,9,7,16,27,11,38,2,0,0,0,36,0,38,6,32,0,38,1/1/2023,12/31/2023,Audited Financial Statements,"$42,547.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,553762.63,11759.1,433179.91,567408.89,0,1566110.53,32,1,0,5,0,0,0,,,,,,,,,,3528
14-3531,2023,Belvidere Dialysis,1751 Henry Luckow Lane,Belvidere,61008,1,1518365428,"Dialysis of Northern Illinois, LLC",Limited Liability Company,Ashley King,Mashood Ahmad,First Rockford Group,6801 Spring Creek Road,"Rockford, Illinois 61107",,,,,Rockford Nephrology Associates,Joint Venture,Joint Venture,,,,,,,,,,,,,40,1.5,3.25,1,1,0,1,1.25,9,"Other Health Related Professionals:
-Facility Administrator- 1 worker

Other Non-Health Related Professionals:
Biomed - .5 Worker
Administrative Assistant- .75 worker",12,12,12,12,12,12,1,210,190,,3,1,3,1,3,1,0,No,0,14,7,14,7,14,7,0,27,11,27,10,27,10,41,40,61,19,2,0,0,1,3,9,0,0,8,47,7,1,6,0,0,61,0,0,0,2,2,4,7,10,17,8,3,11,17,12,29,34,27,61,1,0,3,0,57,0,61,21,40,,61,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,47,7,1,6,0,0,0,,,,,,,,,,6007
14-2709,2023,Benton DaVita,1151 Rt 14 W,Benton,62812,5,20-1649898,"Renal Life Link, Inc",For Profit Corporation,Sheri Steele,"Cheryl Emmons, MD",Nephroplex Service Corp,1151 Rt 14 W,"Benton, IL  62812",,,,,,,,,,,,,,,,,,,,32,3,6,0.5,0.5,0,0,1,11,"0.25 FTE BM
0.75 FTE AA",13,13,13,13,13,13,0,180,479,2,2,2,2,2,2,2,0,No,0,12,12,12,12,12,12,0,25,23,25,19,25,22,47,44,75,21,8,1,0,0,0,15,0,0,15,53,8,9,5,0,0,75,0,0,0,5,2,7,16,8,24,12,4,16,19,9,28,52,23,75,0,0,6,1,68,,75,1,74,,75,1/20/2023,12/20/2023,Audited Financial Statements,$-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1139720.76,9152.12,1195522.82,252676.74,0,2597072.44,53,8,9,5,0,0,0,,,,,,,,,,6393
14-2598,2023,Brighton Park,4737 S California Ave,Chicago,60632,6,81-1739026,"Itasca  Dialysis, LLC",For Profit Corporation,Eva Verdin,Bharathi Reddy,Mike Laub of Laub Realty,"109 Montgomery Avenue, Suite 102","Scarsdale, NY 10583",,,,,Total Renal Care Inc.,Lessee,,,,,,,,,,,,,,40,2,9,1,1,0,1,2,16,"Biomed Teammate- 
Repairs and maintains dialysis systems, R.O. water systems, reuse equipment, and ancillary medical equipment and provides support.
Documentation
Performs electrical safety assurance and performance testing on all dialysis machines and related electrical equipment.
Monitors R.O. system and log sheets, on a monthly basis, for completeness and accuracy, noting any deviations from normal standards.
Upgrades R.O. water treatment systems to DaVita standards as needed, under the direction of the Area Biomedical Supervisor (ABS) or Divisional charge of the water system, fixing and maintaining the dialysis machines.",16,16,16,16,16,16,1,3.34,149,3,3,2,3,2,3,2,0,No,0,14,11,14,11,14,11,0,32,17,31,18,33,16,0,19,88,20,13,0,2,0,4,9,0,0,2,35,21,10,17,0,5,88,0,0,0,8,7,15,29,10,39,14,8,22,6,6,12,57,31,88,1,0,18,0,69,0,88,69,19,0,88,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$37,931.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,559321.69,300152.3,898630.53,1195108,0,2953212.52,35,21,10,17,0,78120,5,,,,,,,,,,"7,338"
14-2716,2023,Carle Health Outpatient Dialysis Center,"5401 N. Knoxville Ave., Ste 104",Peoria,61614,2,37-0681540,Proctor Community Hospital,Not for Profit Corporation,Stephanie Cicero,Dr. David Houser,Methodist Services Inc.,221 NE Glen Oak Ave,"Peoria, IL 61636",,,,,The Carle Foundation,Operational Manager,Parent Company,Visonex LLC,Billing Agency,Contract,Methodist Health Services Corp,,Parent Company,Carle Health West Region,,,,,,244,3,4,1,1,0,2,0,11,"Administrative Assistant
RN/Manager",14,14,14,14,14,13,0,240,129,2,2,0,2,0,2,0,0,No,0,12,0,12,0,12,0,0,19,0,22,0,20,0,22,22,27,5,0,1,0,0,0,4,1,0,1,24,3,0,0,0,0,27,0,0,0,0,0,0,2,4,6,4,6,10,5,6,11,11,16,27,0,0,11,0,16,0,27,0,27,0,27,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,$-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11087009,701790.37,6291.18,0,220204.31,,928285.86,24,3,0,0,0,0,0,,,,,,,,,,3057
14-2711,2023,Centralia DaVita Dialysis,1231 St Rt 161 East,Centralia,62801,5,20-1649898,Renal Life Link Inc,For Profit Corporation,Kimberly Henke,Faisal Rashid,Steven Zelman,416 N 12th Street,Mount Vernon IL 62864,,,,,,,,,,,,,,,,,,,,32,2,5,1,1,0,0,2,11,"Administrative assistant
Bio-medical service specialist.",14,14,14,14,14,14,0,180,664,,3,2,3,2,3,2,0,Off,0,13.5,9.5,11.5,9.5,12,9.5,0,28,24,24,23,27,25,55,54,84,24,6,1,2,0,4,6,3,0,19,75,3,5,1,0,0,84,0,0,0,8,3,11,9,9,18,17,7,24,14,17,31,48,36,84,0,0,11,0,73,0,84,0,0,0,0,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$15,946.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1806171.59,0,734327.3,468980.35,0,3009479.24,75,3,5,1,0,0,0,,,,,,,,,,7435
